model_name,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2,best_params
Ridge,0.0069159967460836105,0.0018089183233206585,0.004434944101017931,0.0008866261073717101,0.04619371970534707,0.06605453143396382,{'model__alpha': np.float64(10.0)}
RandomForest,0.007045167971306112,0.002008393486500586,0.0044758563161655515,0.0009360349936725722,0.022774845730109128,0.07966970665756523,"{'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__n_estimators': 100}"
LinearRegression,0.007068423930893637,0.0018911172601351032,0.004512635180251417,0.0009230813957517814,0.005306133188307238,0.08234215854106636,{}
